"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"4:39:14.2972211 AM","stub.exe","2304","CreateFile","C:\Users\admin\AppData\Roaming\Miranda","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"4:39:14.2973644 AM","stub.exe","2304","CreateFile","C:\Users\admin\AppData\Local\Google\Chrome\User Data\Default","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"4:39:14.2973808 AM","stub.exe","2304","QueryDirectory","C:\Users\admin\AppData\Local\Google\Chrome\User Data\Default\Login Data","SUCCESS","Filter: Login Data, 1: Login Data"
"4:39:14.2974047 AM","stub.exe","2304","CloseFile","C:\Users\admin\AppData\Local\Google\Chrome\User Data\Default","SUCCESS",""
"4:39:14.2974790 AM","stub.exe","2304","CreateFile","C:\Users\admin\AppData\Local\Google\Chrome\User Data\Default\Login Data","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Sequential Access, Synchronous IO Non-Alert, Non-Directory File, Open Reparse Point, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"4:39:14.2974984 AM","stub.exe","2304","QueryAttributeTagFile","C:\Users\admin\AppData\Local\Google\Chrome\User Data\Default\Login Data","SUCCESS","Attributes: ANCI, ReparseTag: 0x0"
"4:39:14.2975069 AM","stub.exe","2304","QueryStandardInformationFile","C:\Users\admin\AppData\Local\Google\Chrome\User Data\Default\Login Data","SUCCESS","AllocationSize: 12,288, EndOfFile: 12,288, NumberOfLinks: 1, DeletePending: False, Directory: False"
"4:39:14.2975123 AM","stub.exe","2304","QueryBasicInformationFile","C:\Users\admin\AppData\Local\Google\Chrome\User Data\Default\Login Data","SUCCESS","CreationTime: 3/30/2014 12:50:28 AM, LastAccessTime: 3/30/2014 12:50:28 AM, LastWriteTime: 3/30/2014 12:50:28 AM, ChangeTime: 3/30/2014 12:50:28 AM, FileAttributes: ANCI"
"4:39:14.2975190 AM","stub.exe","2304","QueryStreamInformationFile","C:\Users\admin\AppData\Local\Google\Chrome\User Data\Default\Login Data","SUCCESS","0: ::$DATA"
"4:39:14.2975299 AM","stub.exe","2304","QueryBasicInformationFile","C:\Users\admin\AppData\Local\Google\Chrome\User Data\Default\Login Data","SUCCESS","CreationTime: 3/30/2014 12:50:28 AM, LastAccessTime: 3/30/2014 12:50:28 AM, LastWriteTime: 3/30/2014 12:50:28 AM, ChangeTime: 3/30/2014 12:50:28 AM, FileAttributes: ANCI"
"4:39:14.2975360 AM","stub.exe","2304","QueryEaInformationFile","C:\Users\admin\AppData\Local\Google\Chrome\User Data\Default\Login Data","SUCCESS","EaSize: 0"
"4:39:14.2975705 AM","stub.exe","2304","CreateFile","C:\Users\admin\AppData\Local\Google\Chrome\User Data\Default\Login Data - Copy","SUCCESS","Desired Access: Generic Write, Read Data/List Directory, Read Attributes, Delete, Disposition: OverwriteIf, Options: Sequential Access, Synchronous IO Non-Alert, Non-Directory File, Attributes: ANCI, ShareMode: None, AllocationSize: 12,288, OpenResult: Created"
"4:39:14.2976515 AM","stub.exe","2304","ReadFile","C:","SUCCESS","Offset: 18,862,080, Length: 96, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"4:39:14.2977206 AM","stub.exe","2304","QueryAttributeInformationVolume","C:\Users\admin\AppData\Local\Google\Chrome\User Data\Default\Login Data - Copy","SUCCESS","FileSystemAttributes: Case Preserved, Case Sensitive, Unicode, ACLs, Compression, Named Streams, EFS, Object IDs, Reparse Points, Sparse Files, Quotas, Transactions, 0x3c00000, MaximumComponentNameLength: 255, FileSystemName: NTFS"
"4:39:14.2977288 AM","stub.exe","2304","QueryBasicInformationFile","C:\Users\admin\AppData\Local\Google\Chrome\User Data\Default\Login Data - Copy","SUCCESS","CreationTime: 3/30/2014 4:39:04 AM, LastAccessTime: 3/30/2014 4:39:14 AM, LastWriteTime: 3/30/2014 4:39:14 AM, ChangeTime: 3/30/2014 4:39:14 AM, FileAttributes: ANCI"
"4:39:14.2977345 AM","stub.exe","2304","QueryAttributeInformationVolume","C:\Users\admin\AppData\Local\Google\Chrome\User Data\Default\Login Data","SUCCESS","FileSystemAttributes: Case Preserved, Case Sensitive, Unicode, ACLs, Compression, Named Streams, EFS, Object IDs, Reparse Points, Sparse Files, Quotas, Transactions, 0x3c00000, MaximumComponentNameLength: 255, FileSystemName: NTFS"
"4:39:14.2977427 AM","stub.exe","2304","SetEndOfFileInformationFile","C:\Users\admin\AppData\Local\Google\Chrome\User Data\Default\Login Data - Copy","SUCCESS","EndOfFile: 12,288"
"4:39:14.2977691 AM","stub.exe","2304","ReadFile","C:\Users\admin\AppData\Local\Google\Chrome\User Data\Default\Login Data","SUCCESS","Offset: 0, Length: 12,288, Priority: Normal"
"4:39:14.2977903 AM","stub.exe","2304","WriteFile","C:\Users\admin\AppData\Local\Google\Chrome\User Data\Default\Login Data - Copy","SUCCESS","Offset: 0, Length: 12,288, Priority: Normal"
"4:39:14.2978194 AM","stub.exe","2304","SetBasicInformationFile","C:\Users\admin\AppData\Local\Google\Chrome\User Data\Default\Login Data - Copy","SUCCESS","CreationTime: 0, LastAccessTime: 0, LastWriteTime: 3/30/2014 12:50:28 AM, ChangeTime: 3/30/2014 12:50:28 AM, FileAttributes: n/a"
"4:39:14.2978367 AM","stub.exe","2304","CloseFile","C:\Users\admin\AppData\Local\Google\Chrome\User Data\Default\Login Data","SUCCESS",""
"4:39:14.2978442 AM","stub.exe","2304","CloseFile","C:\Users\admin\AppData\Local\Google\Chrome\User Data\Default\Login Data - Copy","SUCCESS",""
